sample_id,ref_kw,base_hits,trained_hits,cov_base,cov_trained,delta
sample_000051,41,18,25,0.43902439024390244,0.6097560975609756,0.17073170731707316
sample_000052,42,19,19,0.4523809523809524,0.4523809523809524,0.0
sample_000053,31,12,7,0.3870967741935484,0.22580645161290322,-0.16129032258064516
sample_000054,31,0,8,0.0,0.25806451612903225,0.25806451612903225
sample_000055,20,2,9,0.1,0.45,0.35
sample_000056,26,5,4,0.19230769230769232,0.15384615384615385,-0.038461538461538464
sample_000057,20,3,2,0.15,0.1,-0.04999999999999999
sample_000058,57,28,34,0.49122807017543857,0.5964912280701754,0.10526315789473684
sample_000059,30,11,12,0.36666666666666664,0.4,0.03333333333333338
sample_000060,49,8,11,0.16326530612244897,0.22448979591836735,0.06122448979591838
sample_000061,25,1,8,0.04,0.32,0.28
sample_000062,23,6,6,0.2608695652173913,0.2608695652173913,0.0
sample_000063,45,4,21,0.08888888888888889,0.4666666666666667,0.37777777777777777
sample_000064,53,22,32,0.41509433962264153,0.6037735849056604,0.18867924528301883
sample_000065,36,15,3,0.4166666666666667,0.08333333333333333,-0.33333333333333337
sample_000066,31,10,12,0.3225806451612903,0.3870967741935484,0.06451612903225806
sample_000067,15,1,1,0.06666666666666667,0.06666666666666667,0.0
sample_000068,26,11,14,0.4230769230769231,0.5384615384615384,0.11538461538461536
sample_000069,35,11,11,0.3142857142857143,0.3142857142857143,0.0
sample_000070,76,29,37,0.3815789473684211,0.4868421052631579,0.10526315789473684
sample_000071,17,1,2,0.058823529411764705,0.11764705882352941,0.058823529411764705
sample_000072,64,41,30,0.640625,0.46875,-0.171875
sample_000073,50,31,32,0.62,0.64,0.020000000000000018
sample_000074,29,14,15,0.4827586206896552,0.5172413793103449,0.03448275862068967
sample_000075,37,12,18,0.32432432432432434,0.4864864864864865,0.16216216216216217
sample_000076,37,6,13,0.16216216216216217,0.35135135135135137,0.1891891891891892
sample_000077,33,13,9,0.3939393939393939,0.2727272727272727,-0.12121212121212122
sample_000078,42,16,20,0.38095238095238093,0.47619047619047616,0.09523809523809523
sample_000079,45,17,21,0.37777777777777777,0.4666666666666667,0.0888888888888889
sample_000080,13,1,0,0.07692307692307693,0.0,-0.07692307692307693
sample_000081,11,3,3,0.2727272727272727,0.2727272727272727,0.0
sample_000082,11,0,0,0.0,0.0,0.0
sample_000083,39,19,24,0.48717948717948717,0.6153846153846154,0.12820512820512825
sample_000084,17,1,1,0.058823529411764705,0.058823529411764705,0.0
sample_000085,30,1,15,0.03333333333333333,0.5,0.4666666666666667
sample_000086,30,11,13,0.36666666666666664,0.43333333333333335,0.06666666666666671
sample_000087,33,16,12,0.48484848484848486,0.36363636363636365,-0.12121212121212122
sample_000088,41,15,21,0.36585365853658536,0.5121951219512195,0.14634146341463417
sample_000089,35,10,16,0.2857142857142857,0.45714285714285713,0.17142857142857143
sample_000090,27,5,11,0.18518518518518517,0.4074074074074074,0.2222222222222222
sample_000091,37,18,18,0.4864864864864865,0.4864864864864865,0.0
sample_000092,23,7,8,0.30434782608695654,0.34782608695652173,0.04347826086956519
sample_000093,15,1,1,0.06666666666666667,0.06666666666666667,0.0
sample_000094,34,16,17,0.47058823529411764,0.5,0.02941176470588236
sample_000095,32,15,17,0.46875,0.53125,0.0625
sample_000096,15,1,1,0.06666666666666667,0.06666666666666667,0.0
sample_000097,17,1,1,0.058823529411764705,0.058823529411764705,0.0
sample_000098,42,24,16,0.5714285714285714,0.38095238095238093,-0.19047619047619047
sample_000099,23,11,11,0.4782608695652174,0.4782608695652174,0.0
sample_000100,27,9,9,0.3333333333333333,0.3333333333333333,0.0
sample_000101,44,19,26,0.4318181818181818,0.5909090909090909,0.15909090909090912
sample_000102,32,13,12,0.40625,0.375,-0.03125
sample_000103,33,7,10,0.21212121212121213,0.30303030303030304,0.09090909090909091
sample_000104,44,25,28,0.5681818181818182,0.6363636363636364,0.06818181818181812
sample_000105,36,13,16,0.3611111111111111,0.4444444444444444,0.08333333333333331
sample_000106,11,1,1,0.09090909090909091,0.09090909090909091,0.0
sample_000107,33,13,11,0.3939393939393939,0.3333333333333333,-0.06060606060606061
sample_000108,11,0,1,0.0,0.09090909090909091,0.09090909090909091
